Species,Wasp_ID,Correct,Prop_correct,Incorrect
Dominula,D139,3,0.3,7
Dominula,D187,7,0.7,3
Dominula,D201,7,0.7,3
Dominula,D216,8,0.8,2
Dominula,D217,6,0.6,4
Dominula,D223,6,0.6,4
Dominula,D229,6,0.6,4
Dominula,D239B,6,0.6,4
Dominula,D257,6,0.6,4
Dominula,D67A,8,0.8,2
Dominula,D81B,6,0.6,4
Dominula,D92B,5,0.5,5
Dominula,D122,4,0.4,6
Dominula,D133,8,0.8,2
Dominula,D140,8,0.8,2
Dominula,D149,7,0.7,3
Dominula,D15,8,0.8,2
Dominula,D22,9,0.9,1
Dominula,D43,6,0.6,4
Dominula,D45,6,0.6,4
Dominula,D50,5,0.5,5
Dominula,D55,8,0.8,2
Dominula,D71,4,0.4,6
